timestamp,node_id,job_id,polling_interval_actual,gpu_index,gpu_util_pct,gpu_mem_used_mb,gpu_mem_total_mb,ib_port_xmit_data,ib_port_rcv_data,ib_port_xmit_packets,ib_port_rcv_packets,ib_port_xmit_wait,ib_port_xmit_discards,ib_excessive_buffer_overrun_errors,ib_link_downed,ib_link_error_recovery,ib_symbol_error,ib_local_link_integrity_errors,ib_port_rcv_remote_physical_errors,ib_port_rcv_errors,ib_sq_num_rnr,ib_sq_num_to,ib_rq_num_oos,ib_sq_num_oos,ib_port_xmit_data_delta,ib_port_rcv_data_delta,ib_port_xmit_packets_delta,ib_port_rcv_packets_delta,ib_port_xmit_wait_delta,ib_port_xmit_discards_delta,ib_excessive_buffer_overrun_errors_delta,ib_symbol_error_delta,ib_port_rcv_errors_delta,ib_sq_num_rnr_delta,ib_sq_num_to_delta,ib_rq_num_oos_delta,ib_sq_num_oos_delta
1776727593.2703571,g11.hpc.coe,33203,,0,0.0,0.0,12288.0,21460051459,22211698042,25483764,26415117,827517,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
1776727593.770475,g11.hpc.coe,33203,0.5001,0,0.0,0.0,12288.0,21460058926,22211705160,25483903,26415254,827517,0,0,0,0,0,0,0,0,0,0,0,0,7467,7118,139,137,0,0,0,0,0,0,0,0,0
1776727594.2705667,g11.hpc.coe,33203,0.5001,0,0.0,0.0,12288.0,21460132802,22211777886,25485313,26416665,827517,0,0,0,0,0,0,0,0,0,0,0,0,73876,72726,1410,1411,0,0,0,0,0,0,0,0,0
1776727594.7706616,g11.hpc.coe,33203,0.5001,0,0.0,0.0,12288.0,21460215987,22211859590,25486895,26418241,827517,0,0,0,0,0,0,0,0,0,0,0,0,83185,81704,1582,1576,0,0,0,0,0,0,0,0,0
1776727595.270785,g11.hpc.coe,33203,0.5001,0,0.0,0.0,12288.0,21460254185,22211896867,25487621,26418958,827517,0,0,0,0,0,0,0,0,0,0,0,0,38198,37277,726,717,0,0,0,0,0,0,0,0,0
1776727595.7709002,g11.hpc.coe,33203,0.5001,0,0.0,0.0,12288.0,21460254667,22211896924,25487623,26418959,827517,0,0,0,0,0,0,0,0,0,0,0,0,482,57,2,1,0,0,0,0,0,0,0,0,0
1776727596.2710333,g11.hpc.coe,33203,0.5001,0,3.0,279.0,12288.0,21460255666,22211897465,25487635,26418968,827517,0,0,0,0,0,0,0,0,0,0,0,0,999,541,12,9,0,0,0,0,0,0,0,0,0
1776727596.7711735,g11.hpc.coe,33203,0.5001,0,0.0,279.0,12288.0,21460256253,22211897544,25487638,26418970,827517,0,0,0,0,0,0,0,0,0,0,0,0,587,79,3,2,0,0,0,0,0,0,0,0,0
1776727597.271265,g11.hpc.coe,33203,0.5001,0,3.0,419.0,12288.0,21460281203,22217126623,25488239,26424585,827517,0,0,0,0,0,0,0,0,0,0,0,0,24950,5229079,601,5615,0,0,0,0,0,0,0,0,0
1776727597.7713544,g11.hpc.coe,33203,0.5001,0,0.0,419.0,12288.0,21460387802,22217231222,25490265,26426609,827517,0,0,0,0,0,0,0,0,0,0,0,0,106599,104599,2026,2024,0,0,0,0,0,0,0,0,0
