timestamp,node_id,job_id,polling_interval_actual,gpu_index,gpu_util_pct,gpu_mem_used_mb,gpu_mem_total_mb,ib_port_xmit_data,ib_port_rcv_data,ib_port_xmit_packets,ib_port_rcv_packets,ib_port_xmit_wait,ib_port_xmit_discards,ib_excessive_buffer_overrun_errors,ib_link_downed,ib_link_error_recovery,ib_symbol_error,ib_local_link_integrity_errors,ib_port_rcv_remote_physical_errors,ib_port_rcv_errors,ib_sq_num_rnr,ib_sq_num_to,ib_rq_num_oos,ib_sq_num_oos,ib_port_xmit_data_delta,ib_port_rcv_data_delta,ib_port_xmit_packets_delta,ib_port_rcv_packets_delta,ib_port_xmit_wait_delta,ib_port_xmit_discards_delta,ib_excessive_buffer_overrun_errors_delta,ib_symbol_error_delta,ib_port_rcv_errors_delta,ib_sq_num_rnr_delta,ib_sq_num_to_delta,ib_rq_num_oos_delta,ib_sq_num_oos_delta
1776727593.3654325,g10.hpc.coe,33203,,0,0.0,0.0,12288.0,8910147768,14367332860,15102315,24441161,68806,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
1776727593.865582,g10.hpc.coe,33203,0.5001,0,0.0,0.0,12288.0,8910155810,14367340547,15102465,24441309,68806,0,0,0,0,0,0,0,0,0,0,0,0,8042,7687,150,148,0,0,0,0,0,0,0,0,0
1776727594.3657393,g10.hpc.coe,33203,0.5002,0,0.0,0.0,12288.0,8910156159,14367340604,15102467,24441310,68806,0,0,0,0,0,0,0,0,0,0,0,0,349,57,2,1,0,0,0,0,0,0,0,0,0
1776727594.865878,g10.hpc.coe,33203,0.5001,0,0.0,0.0,12288.0,8910190800,14367374422,15103126,24441965,68806,0,0,0,0,0,0,0,0,0,0,0,0,34641,33818,659,655,0,0,0,0,0,0,0,0,0
1776727595.36598,g10.hpc.coe,33203,0.5001,0,0.0,0.0,12288.0,8910255940,14367438407,15104364,24443204,68806,0,0,0,0,0,0,0,0,0,0,0,0,65140,63985,1238,1239,0,0,0,0,0,0,0,0,0
1776727595.8661046,g10.hpc.coe,33203,0.5001,0,0.0,0.0,12288.0,8910313819,14367495091,15105463,24444298,68807,0,0,0,0,0,0,0,0,0,0,0,0,57879,56684,1099,1094,1,0,0,0,0,0,0,0,0
1776727596.3662355,g10.hpc.coe,33203,0.5001,0,0.0,0.0,12288.0,8910317090,14367497738,15105521,24444349,68807,0,0,0,0,0,0,0,0,0,0,0,0,3271,2647,58,51,0,0,0,0,0,0,0,0,0
1776727596.8663657,g10.hpc.coe,33203,0.5001,0,1.0,279.0,12288.0,8910353113,14367532931,15106200,24445025,68807,0,0,0,0,0,0,0,0,0,0,0,0,36023,35193,679,676,0,0,0,0,0,0,0,0,0
1776727597.3664942,g10.hpc.coe,33203,0.5001,0,7.0,419.0,12288.0,8915597116,14372776191,15112189,24451019,68811,0,0,0,0,0,0,0,0,0,0,0,0,5244003,5243260,5989,5994,4,0,0,0,0,0,0,0,0
1776727597.8665988,g10.hpc.coe,33203,0.5001,0,0.0,419.0,12288.0,8915666822,14372844396,15113512,24452339,68811,0,0,0,0,0,0,0,0,0,0,0,0,69706,68205,1323,1320,0,0,0,0,0,0,0,0,0
1776727598.3667297,g10.hpc.coe,33203,0.5001,0,0.0,419.0,12288.0,8915719141,14372895449,15114500,24453327,68811,0,0,0,0,0,0,0,0,0,0,0,0,52319,51053,988,988,0,0,0,0,0,0,0,0,0
1776727598.8668604,g10.hpc.coe,33203,0.5001,0,0.0,419.0,12288.0,8915758905,14372933971,15115252,24454074,68811,0,0,0,0,0,0,0,0,0,0,0,0,39764,38522,752,747,0,0,0,0,0,0,0,0,0
1776727599.366998,g10.hpc.coe,33203,0.5001,0,19.0,2035.0,12288.0,8915774922,14372949238,15115425,24454243,68811,0,0,0,0,0,0,0,0,0,0,0,0,16017,15267,173,169,0,0,0,0,0,0,0,0,0
1776727599.8671234,g10.hpc.coe,33203,0.5001,0,99.0,2035.0,12288.0,8951201141,14408347788,15151058,24489866,68837,0,0,0,0,0,0,0,0,0,0,0,0,35426219,35398550,35633,35623,26,0,0,0,0,0,0,0,0
