timestamp,node_id,job_id,polling_interval_actual,gpu_index,gpu_util_pct,gpu_mem_used_mb,gpu_mem_total_mb,ib_port_xmit_data,ib_port_rcv_data,ib_port_xmit_packets,ib_port_rcv_packets,ib_port_xmit_wait,ib_port_xmit_discards,ib_excessive_buffer_overrun_errors,ib_link_downed,ib_link_error_recovery,ib_symbol_error,ib_local_link_integrity_errors,ib_port_rcv_remote_physical_errors,ib_port_rcv_errors,ib_sq_num_rnr,ib_sq_num_to,ib_rq_num_oos,ib_sq_num_oos,ib_port_xmit_data_delta,ib_port_rcv_data_delta,ib_port_xmit_packets_delta,ib_port_rcv_packets_delta,ib_port_xmit_wait_delta,ib_port_xmit_discards_delta,ib_excessive_buffer_overrun_errors_delta,ib_symbol_error_delta,ib_port_rcv_errors_delta,ib_sq_num_rnr_delta,ib_sq_num_to_delta,ib_rq_num_oos_delta,ib_sq_num_oos_delta
1776727593.262336,g8.hpc.coe,33203,,0,0.0,0.0,12288.0,9756878402,17991522410,18567330,33234004,105874,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
1776727593.7624302,g8.hpc.coe,33203,0.5001,0,0.0,0.0,12288.0,9756886444,17991530097,18567480,33234152,105874,0,0,0,0,0,0,0,0,0,0,0,0,8042,7687,150,148,0,0,0,0,0,0,0,0,0
1776727594.2625084,g8.hpc.coe,33203,0.5001,0,0.0,0.0,12288.0,9756935082,17991577844,18568405,33235076,105874,0,0,0,0,0,0,0,0,0,0,0,0,48638,47747,925,924,0,0,0,0,0,0,0,0,0
1776727594.7625835,g8.hpc.coe,33203,0.5001,0,0.0,0.0,12288.0,9757043198,17991684319,18570464,33237135,105874,0,0,0,0,0,0,0,0,0,0,0,0,108116,106475,2059,2059,0,0,0,0,0,0,0,0,0
1776727595.2626579,g8.hpc.coe,33203,0.5001,0,0.0,0.0,12288.0,9757046624,17991687174,18570527,33237190,105874,0,0,0,0,0,0,0,0,0,0,0,0,3426,2855,63,55,0,0,0,0,0,0,0,0,0
1776727595.762749,g8.hpc.coe,33203,0.5001,0,0.0,0.0,12288.0,9757082132,17991721861,18571198,33237857,105874,0,0,0,0,0,0,0,0,0,0,0,0,35508,34687,671,667,0,0,0,0,0,0,0,0,0
1776727596.262821,g8.hpc.coe,33203,0.5001,0,0.0,0.0,12288.0,9757082653,17991721918,18571200,33237858,105874,0,0,0,0,0,0,0,0,0,0,0,0,521,57,2,1,0,0,0,0,0,0,0,0,0
1776727596.7629013,g8.hpc.coe,33203,0.5001,0,0.0,11.0,12288.0,9757083713,17991722481,18571213,33237868,105874,0,0,0,0,0,0,0,0,0,0,0,0,1060,563,13,10,0,0,0,0,0,0,0,0,0
1776727597.262975,g8.hpc.coe,33203,0.5001,0,0.0,419.0,12288.0,9762309307,17991742744,18576761,33238392,106361,0,0,0,0,0,0,0,0,0,0,0,0,5225594,20263,5548,524,487,0,0,0,0,0,0,0,0
1776727597.7630503,g8.hpc.coe,33203,0.5001,0,0.0,419.0,12288.0,9762401831,17991833536,18578520,33240149,106361,0,0,0,0,0,0,0,0,0,0,0,0,92524,90792,1759,1757,0,0,0,0,0,0,0,0,0
1776727598.2631261,g8.hpc.coe,33203,0.5001,0,0.0,419.0,12288.0,9762459388,17991889498,18579607,33241230,106361,0,0,0,0,0,0,0,0,0,0,0,0,57557,55962,1087,1081,0,0,0,0,0,0,0,0,0
1776727598.7632043,g8.hpc.coe,33203,0.5001,0,0.0,523.0,12288.0,9762496933,17991925834,18580312,33241934,106361,0,0,0,0,0,0,0,0,0,0,0,0,37545,36336,705,704,0,0,0,0,0,0,0,0,0
1776727599.2632792,g8.hpc.coe,33203,0.5001,0,100.0,2035.0,12288.0,9762505639,17992980843,18580347,33242980,106361,0,0,0,0,0,0,0,0,0,0,0,0,8706,1055009,35,1046,0,0,0,0,0,0,0,0,0
1776727599.7633457,g8.hpc.coe,33203,0.5001,0,99.0,2035.0,12288.0,9790962371,18020373841,18608943,33270539,112328,0,0,0,0,0,0,0,0,0,0,0,0,28456732,27392998,28596,27559,5967,0,0,0,0,0,0,0,0
1776727600.2634113,g8.hpc.coe,33203,0.5001,0,99.0,2035.0,12288.0,9825673168,18055073261,18643858,33305434,113010,0,0,0,0,0,0,0,0,0,0,0,0,34710797,34699420,34915,34895,682,0,0,0,0,0,0,0,0
1776727600.7634764,g8.hpc.coe,33203,0.5001,0,100.0,2035.0,12288.0,9866639054,18096022438,18685007,33346548,113310,0,0,0,0,0,0,0,0,0,0,0,0,40965886,40949177,41149,41114,300,0,0,0,0,0,0,0,0
1776727601.2635417,g8.hpc.coe,33203,0.5001,0,100.0,2035.0,12288.0,9902036903,18131411762,18720673,33382173,113706,0,0,0,0,0,0,0,0,0,0,0,0,35397849,35389324,35666,35625,396,0,0,0,0,0,0,0,0
1776727601.7636065,g8.hpc.coe,33203,0.5001,0,100.0,2035.0,12288.0,9942995309,18172360795,18761814,33423282,113887,0,0,0,0,0,0,0,0,0,0,0,0,40958406,40949033,41141,41109,181,0,0,0,0,0,0,0,0
1776727602.2636735,g8.hpc.coe,33203,0.5001,0,99.0,2035.0,12288.0,9978400760,18207750342,18797474,33458921,114412,0,0,0,0,0,0,0,0,0,0,0,0,35405451,35389547,35660,35639,525,0,0,0,0,0,0,0,0
1776727602.7637384,g8.hpc.coe,33203,0.5001,0,100.0,2035.0,12288.0,10013112298,18242450204,18832387,33493821,114443,0,0,0,0,0,0,0,0,0,0,0,0,34711538,34699862,34913,34900,31,0,0,0,0,0,0,0,0
1776727603.2638042,g8.hpc.coe,33203,0.5001,0,98.0,2035.0,12288.0,10054077346,18283399401,18873531,33534940,114477,0,0,0,0,0,0,0,0,0,0,0,0,40965048,40949197,41144,41119,34,0,0,0,0,0,0,0,0
1776727603.76387,g8.hpc.coe,33203,0.5001,0,100.0,2035.0,12288.0,10089474349,18318788828,18909182,33570575,115218,0,0,0,0,0,0,0,0,0,0,0,0,35397003,35389427,35651,35635,741,0,0,0,0,0,0,0,0
1776727604.263936,g8.hpc.coe,33203,0.5001,0,100.0,2035.0,12288.0,10130439519,18359738130,18950330,33611709,115270,0,0,0,0,0,0,0,0,0,0,0,0,40965170,40949302,41148,41134,52,0,0,0,0,0,0,0,0
1776727604.7640004,g8.hpc.coe,33203,0.5001,0,100.0,2035.0,12288.0,10165836588,18395127544,18985986,33647349,115307,0,0,0,0,0,0,0,0,0,0,0,0,35397069,35389414,35656,35640,37,0,0,0,0,0,0,0,0
1776727605.2640655,g8.hpc.coe,33203,0.5001,0,100.0,2035.0,12288.0,10204766519,18434162130,19025171,33686891,115344,0,0,0,0,0,0,0,0,0,0,0,0,38929931,39034586,39185,39542,37,0,0,0,0,0,0,0,0
1776727605.7641318,g8.hpc.coe,33203,0.5001,0,100.0,2035.0,12288.0,10241512081,18470776132,19062042,33723361,115387,0,0,0,0,0,0,0,0,0,0,0,0,36745562,36614002,36871,36470,43,0,0,0,0,0,0,0,0
1776727606.264198,g8.hpc.coe,33203,0.5001,0,100.0,2035.0,12288.0,10276909236,18506165539,19097690,33759000,115409,0,0,0,0,0,0,0,0,0,0,0,0,35397155,35389407,35648,35639,22,0,0,0,0,0,0,0,0
1776727606.764263,g8.hpc.coe,33203,0.5001,0,100.0,2035.0,12288.0,10317866824,18547114611,19138823,33800117,115453,0,0,0,0,0,0,0,0,0,0,0,0,40957588,40949072,41133,41117,44,0,0,0,0,0,0,0,0
1776727607.264329,g8.hpc.coe,33203,0.5001,0,100.0,2035.0,12288.0,10353271849,18582504136,19174480,33835757,115495,0,0,0,0,0,0,0,0,0,0,0,0,35405025,35389525,35657,35640,42,0,0,0,0,0,0,0,0
1776727607.7643924,g8.hpc.coe,33203,0.5001,0,100.0,2035.0,12288.0,10387982287,18617203577,19209389,33870655,115530,0,0,0,0,0,0,0,0,0,0,0,0,34710438,34699441,34909,34898,35,0,0,0,0,0,0,0,0
1776727608.2644553,g8.hpc.coe,33203,0.5001,0,100.0,2035.0,12288.0,10428947800,18658152747,19250530,33911768,117174,0,0,0,0,0,0,0,0,0,0,0,0,40965513,40949170,41141,41113,1644,0,0,0,0,0,0,0,0
1776727608.764517,g8.hpc.coe,33203,0.5001,0,99.0,2035.0,12288.0,10464345269,18693542127,19286187,33947401,117211,0,0,0,0,0,0,0,0,0,0,0,0,35397469,35389380,35657,35633,37,0,0,0,0,0,0,0,0
1776727609.2645817,g8.hpc.coe,33203,0.5001,0,100.0,2035.0,12288.0,10502845188,18732257242,19325282,33986450,118025,0,0,0,0,0,0,0,0,0,0,0,0,38499919,38715115,39095,39049,814,0,0,0,0,0,0,0,0
1776727609.7646449,g8.hpc.coe,33203,0.5001,0,99.0,2035.0,12288.0,10540708650,18769880739,19363006,34024149,118113,0,0,0,0,0,0,0,0,0,0,0,0,37863462,37623497,37724,37699,88,0,0,0,0,0,0,0,0
1776727610.264707,g8.hpc.coe,33203,0.5001,0,100.0,2035.0,12288.0,10575419352,18804580145,19397919,34059042,118410,0,0,0,0,0,0,0,0,0,0,0,0,34710702,34699406,34913,34893,297,0,0,0,0,0,0,0,0
1776727610.7647698,g8.hpc.coe,33203,0.5001,0,100.0,2035.0,12288.0,10616385095,18845529378,19439059,34100164,118889,0,0,0,0,0,0,0,0,0,0,0,0,40965743,40949233,41140,41122,479,0,0,0,0,0,0,0,0
1776727611.2648318,g8.hpc.coe,33203,0.5001,0,100.0,2035.0,12288.0,10651782800,18880918828,19474716,34135807,118923,0,0,0,0,0,0,0,0,0,0,0,0,35397705,35389450,35657,35643,34,0,0,0,0,0,0,0,0
1776727611.7648947,g8.hpc.coe,33203,0.5001,0,100.0,2035.0,12288.0,10691188906,18920855929,19514743,34176271,118964,0,0,0,0,0,0,0,0,0,0,0,0,39406106,39937101,40027,40464,41,0,0,0,0,0,0,0,0
1776727612.2649565,g8.hpc.coe,33203,0.5001,0,100.0,2035.0,12288.0,10728146542,18957257434,19551528,34212561,119008,0,0,0,0,0,0,0,0,0,0,0,0,36957636,36401505,36785,36290,44,0,0,0,0,0,0,0,0
1776727612.7650225,g8.hpc.coe,33203,0.5001,0,100.0,2035.0,12288.0,10762857474,18991956910,19586440,34247464,119043,0,0,0,0,0,0,0,0,0,0,0,0,34710932,34699476,34912,34903,35,0,0,0,0,0,0,0,0
1776727613.2650917,g8.hpc.coe,33203,0.5001,0,100.0,2035.0,12288.0,10803823552,19032906213,19627592,34288596,119093,0,0,0,0,0,0,0,0,0,0,0,0,40966078,40949303,41152,41132,50,0,0,0,0,0,0,0,0
1776727613.7651541,g8.hpc.coe,33203,0.5001,0,100.0,2035.0,12288.0,10839221424,19068295677,19663237,34324241,119131,0,0,0,0,0,0,0,0,0,0,0,0,35397872,35389464,35645,35645,38,0,0,0,0,0,0,0,0
