[g4.hpc.coe] Poller started with PID 24042
[INFO] Writing telemetry to /home/018291533/lens_poc/results/28818/telemetry_g4.hpc.coe_28818.csv
[INFO] Poller started on g4.hpc.coe | IB=mlx4_0:1 | interval=0.5s
[rank 0/3] Initializing DDP on g4:29500
[rank 0] Using device: cuda:0
[rank 0] Starting training loop (batch=16, epochs=999)
[rank 0] epoch= 660  step=  660  loss=6.9871  step_time=93.7ms  elapsed=61.8s
[rank 0] epoch= 670  step=  670  loss=7.0160  step_time=93.6ms  elapsed=62.7s
[rank 0] epoch= 680  step=  680  loss=6.9213  step_time=93.6ms  elapsed=63.7s
[rank 0] epoch= 690  step=  690  loss=6.8910  step_time=93.6ms  elapsed=64.6s
[rank 0] epoch= 700  step=  700  loss=7.0327  step_time=93.6ms  elapsed=65.5s
[rank 0] epoch= 710  step=  710  loss=6.9855  step_time=93.6ms  elapsed=66.4s
[rank 0] epoch= 720  step=  720  loss=7.0340  step_time=93.6ms  elapsed=67.4s
[rank 0] epoch= 730  step=  730  loss=6.9643  step_time=93.6ms  elapsed=68.3s
[rank 0] epoch= 740  step=  740  loss=6.9078  step_time=93.5ms  elapsed=69.2s
[rank 0] epoch= 750  step=  750  loss=6.8923  step_time=93.5ms  elapsed=70.1s
[rank 0] epoch= 760  step=  760  loss=7.0063  step_time=93.5ms  elapsed=71.1s
[rank 0] epoch= 770  step=  770  loss=6.9741  step_time=93.5ms  elapsed=72.0s
[rank 0] epoch= 780  step=  780  loss=6.9504  step_time=93.5ms  elapsed=72.9s
[rank 0] epoch= 790  step=  790  loss=6.9458  step_time=93.5ms  elapsed=73.8s
[rank 0] epoch= 800  step=  800  loss=6.8938  step_time=93.5ms  elapsed=74.8s
[rank 0] epoch= 810  step=  810  loss=6.9407  step_time=93.5ms  elapsed=75.7s
[rank 0] epoch= 820  step=  820  loss=6.9298  step_time=93.4ms  elapsed=76.6s
[rank 0] epoch= 830  step=  830  loss=6.9431  step_time=93.4ms  elapsed=77.6s
[rank 0] epoch= 840  step=  840  loss=6.9414  step_time=93.4ms  elapsed=78.5s
[rank 0] epoch= 850  step=  850  loss=6.9259  step_time=93.4ms  elapsed=79.4s
[rank 0] epoch= 860  step=  860  loss=6.8885  step_time=93.4ms  elapsed=80.3s
[rank 0] epoch= 870  step=  870  loss=6.9403  step_time=93.4ms  elapsed=81.3s
[rank 0] epoch= 880  step=  880  loss=6.9129  step_time=93.4ms  elapsed=82.2s
[rank 0] epoch= 890  step=  890  loss=6.8834  step_time=93.4ms  elapsed=83.1s
[rank 0] epoch= 900  step=  900  loss=6.8647  step_time=93.4ms  elapsed=84.0s
[rank 0] epoch= 910  step=  910  loss=6.9553  step_time=93.4ms  elapsed=85.0s
[rank 0] epoch= 920  step=  920  loss=6.9093  step_time=93.3ms  elapsed=85.9s
[rank 0] epoch= 930  step=  930  loss=6.8979  step_time=93.3ms  elapsed=86.8s
[rank 0] epoch= 940  step=  940  loss=6.8708  step_time=93.3ms  elapsed=87.7s
[rank 0] epoch= 950  step=  950  loss=6.8952  step_time=93.3ms  elapsed=88.7s
[rank 0] epoch= 960  step=  960  loss=6.9733  step_time=93.3ms  elapsed=89.6s
[rank 0] epoch= 970  step=  970  loss=6.8862  step_time=93.3ms  elapsed=90.5s
[rank 0] epoch= 980  step=  980  loss=6.8698  step_time=93.3ms  elapsed=91.4s
[rank 0] epoch= 990  step=  990  loss=6.8842  step_time=93.3ms  elapsed=92.4s
[rank 0] Training complete. Total steps: 999  Time: 93.2s
[g4.hpc.coe] Done.
