timestamp,node_id,job_id,gpu_index,gpu_util_pct,gpu_mem_used_mb,gpu_mem_total_mb,ib_port_xmit_data,ib_port_rcv_data,ib_port_xmit_wait,ib_port_xmit_data_delta,ib_port_rcv_data_delta,ib_port_xmit_wait_delta
1775001951.8225756,g7.hpc.coe,28818,0,100.0,2035.0,12288.0,371921577,491230578,13958,35427477,35397164,6
1775001952.322663,g7.hpc.coe,28818,0,100.0,2035.0,12288.0,412916481,532195970,13963,40994904,40965392,5
1775001952.8227513,g7.hpc.coe,28818,0,100.0,2035.0,12288.0,448343927,567593162,14123,35427446,35397192,160
1775001953.3228388,g7.hpc.coe,28818,0,100.0,2035.0,12288.0,483081496,602303432,14170,34737569,34710270,47
1775001953.822927,g7.hpc.coe,28818,0,100.0,2035.0,12288.0,524076396,643268852,14181,40994900,40965420,11
1775001954.3230164,g7.hpc.coe,28818,0,100.0,2035.0,12288.0,565761331,684921160,14285,41684935,41652308,104
1775001954.8231046,g7.hpc.coe,28818,0,100.0,2035.0,12288.0,600498911,719631452,19176,34737580,34710292,4891
1775001955.323196,g7.hpc.coe,28818,0,100.0,2035.0,12288.0,635926618,755028777,19232,35427707,35397325,56
1775001955.8232837,g7.hpc.coe,28818,0,100.0,2035.0,12288.0,670664217,789739076,19645,34737599,34710299,413
1775001956.3233728,g7.hpc.coe,28818,0,100.0,2035.0,12288.0,711659224,830704497,19761,40995007,40965421,116
1775001956.8234603,g7.hpc.coe,28818,0,100.0,2035.0,12288.0,747086942,866101683,19922,35427718,35397186,161
1775001957.3235502,g7.hpc.coe,28818,0,100.0,2035.0,12288.0,788082045,907067083,24611,40995103,40965400,4689
1775001957.823644,g7.hpc.coe,28818,0,100.0,2035.0,12288.0,823509852,942464276,24746,35427807,35397193,135
1775001958.3237414,g7.hpc.coe,28818,0,100.0,2035.0,12288.0,858248281,977454943,24753,34738429,34990667,7
1775001958.8238287,g7.hpc.coe,28818,0,100.0,2035.0,12288.0,899243431,1018140591,26290,40995150,40685648,1537
1775001959.3239176,g7.hpc.coe,28818,0,100.0,2035.0,12288.0,934671305,1053537791,26298,35427874,35397200,8
1775001959.8240051,g7.hpc.coe,28818,0,100.0,2035.0,12288.0,975666599,1094503163,28097,40995294,40965372,1799
1775001960.324094,g7.hpc.coe,28818,0,100.0,2035.0,12288.0,1011094618,1129900432,29442,35428019,35397269,1345
1775001960.8241818,g7.hpc.coe,28818,0,100.0,2035.0,12288.0,1047710698,1167109278,29447,36616080,37208846,5
1775001961.3242733,g7.hpc.coe,28818,0,100.0,2035.0,12288.0,1087043389,1205919376,29678,39332691,38810098,231
1775001961.8243642,g7.hpc.coe,28818,0,100.0,2035.0,12288.0,1122255979,1240973247,29684,35212590,35053871,6
1775001962.324456,g7.hpc.coe,28818,0,100.0,2035.0,12288.0,1163251416,1281938682,31758,40995437,40965435,2074
1775001962.8245447,g7.hpc.coe,28818,0,100.0,2035.0,12288.0,1198679516,1317335896,33480,35428100,35397214,1722
1775001963.3246331,g7.hpc.coe,28818,0,100.0,2035.0,12288.0,1238632629,1357418947,34035,39953113,40083051,555
1775001963.8247218,g7.hpc.coe,28818,0,100.0,2035.0,12288.0,1275103065,1393698573,35815,36470436,36279626,1780
1775001964.3248117,g7.hpc.coe,28818,0,100.0,2035.0,12288.0,1309841184,1428408809,35821,34738119,34710236,6
1775001964.8249004,g7.hpc.coe,28818,0,100.0,2035.0,12288.0,1350836704,1469374195,36422,40995520,40965386,601
1775001965.32499,g7.hpc.coe,28818,0,100.0,2035.0,12288.0,1386264949,1504771409,36429,35428245,35397214,7
1775001965.8250785,g7.hpc.coe,28818,0,100.0,2035.0,12288.0,1425221887,1543701592,37792,38956938,38930183,1363
1775001966.3251662,g7.hpc.coe,28818,0,100.0,2035.0,12288.0,1462686679,1581133999,38031,37464792,37432407,239
1775001966.825254,g7.hpc.coe,28818,0,100.0,2035.0,12288.0,1497423831,1615844241,38038,34737152,34710242,7
1775001967.3253467,g7.hpc.coe,28818,0,100.0,2035.0,12288.0,1538418524,1656809654,38219,40994693,40965413,181
1775001967.8254385,g7.hpc.coe,28818,0,100.0,2035.0,12288.0,1573845774,1692206874,38229,35427250,35397220,10
1775001968.3255355,g7.hpc.coe,28818,0,100.0,2035.0,12288.0,1614840451,1733172238,41304,40994677,40965364,3075
1775001968.825628,g7.hpc.coe,28818,0,100.0,2035.0,12288.0,1650267721,1768569346,41508,35427270,35397108,204
1775001969.3257167,g7.hpc.coe,28818,0,100.0,2035.0,12288.0,1685005065,1803279644,41517,34737344,34710298,9
1775001969.8258054,g7.hpc.coe,28818,0,100.0,2035.0,12288.0,1725999810,1844245057,42896,40994745,40965413,1379
1775001970.3258922,g7.hpc.coe,28818,0,100.0,2035.0,12288.0,1761427232,1879642228,42902,35427422,35397171,6
1775001970.8259826,g7.hpc.coe,28818,0,100.0,2035.0,12288.0,1802422123,1920607654,44548,40994891,40965426,1646
1775001971.3260734,g7.hpc.coe,28818,0,100.0,2035.0,12288.0,1837849642,1956004860,44554,35427519,35397206,6
1775001971.8261626,g7.hpc.coe,28818,0,100.0,2035.0,12288.0,1872587200,1990715123,44558,34737558,34710263,4
1775001972.3262498,g7.hpc.coe,28818,0,100.0,2035.0,12288.0,1913582208,2031680543,45609,40995008,40965420,1051
1775001972.8263388,g7.hpc.coe,28818,0,100.0,2035.0,12288.0,1949009802,2067077798,45971,35427594,35397255,362
1775001973.3264308,g7.hpc.coe,28818,0,100.0,2035.0,12288.0,1990005399,2108043785,46837,40995597,40965987,866
1775001973.826521,g7.hpc.coe,28818,0,100.0,2035.0,12288.0,2025433242,2143441174,46999,35427843,35397389,162
1775001974.326614,g7.hpc.coe,28818,0,100.0,2035.0,12288.0,2060170875,2178151473,47006,34737633,34710299,7
1775001974.8267035,g7.hpc.coe,28818,0,100.0,2035.0,12288.0,2101165944,2219116922,48478,40995069,40965449,1472
1775001975.326794,g7.hpc.coe,28818,0,100.0,2035.0,12288.0,2136593633,2254514164,48484,35427689,35397242,6
1775001975.8268824,g7.hpc.coe,28818,0,100.0,2035.0,12288.0,2177588868,2295479619,49818,40995235,40965455,1334
1775001976.3269713,g7.hpc.coe,28818,0,100.0,2035.0,12288.0,2213016619,2330876777,49824,35427751,35397158,6
1775001976.8270593,g7.hpc.coe,28818,0,100.0,2035.0,12288.0,2247754479,2365587076,49833,34737860,34710299,9
1775001977.327148,g7.hpc.coe,28818,0,100.0,2035.0,12288.0,2288749684,2406552469,51755,40995205,40965393,1922
1775001977.8272374,g7.hpc.coe,28818,0,100.0,2035.0,12288.0,2324177537,2441949739,51762,35427853,35397270,7
1775001978.3273354,g7.hpc.coe,28818,0,100.0,2035.0,12288.0,2365172719,2482915125,52683,40995182,40965386,921
1775001978.8274283,g7.hpc.coe,28818,0,100.0,2035.0,12288.0,2400600592,2518312367,62506,35427873,35397242,9823
1775001979.327518,g7.hpc.coe,28818,0,100.0,2035.0,12288.0,2435338526,2553922903,62931,34737934,35610536,425
1775001979.8276062,g7.hpc.coe,28818,0,100.0,2035.0,12288.0,2477023884,2594675002,63737,41685358,40752099,806
1775001980.3276994,g7.hpc.coe,28818,0,100.0,2035.0,12288.0,2511761816,2629385277,64330,34737932,34710275,593
1775001980.8278058,g7.hpc.coe,28818,0,100.0,2035.0,12288.0,2552757290,2670350774,75124,40995474,40965497,10794
1775001981.3278956,g7.hpc.coe,28818,0,100.0,2035.0,12288.0,2588185364,2705747967,75519,35428074,35397193,395
1775001981.827984,g7.hpc.coe,28818,0,100.0,2035.0,12288.0,2622923477,2740458305,75523,34738113,34710338,4
1775001982.3280752,g7.hpc.coe,28818,0,100.0,2035.0,12288.0,2663918914,2781423719,75529,40995437,40965414,6
1775001982.8281648,g7.hpc.coe,28818,0,100.0,2035.0,12288.0,2699347203,2816820912,75942,35428289,35397193,413
1775001983.328258,g7.hpc.coe,28818,0,100.0,2035.0,12288.0,2740342738,2857786347,78611,40995535,40965435,2669
1775001983.828347,g7.hpc.coe,28818,0,100.0,2035.0,12288.0,2775770928,2893183561,78770,35428190,35397214,159
1775001984.3284407,g7.hpc.coe,28818,0,100.0,2035.0,12288.0,2810509407,2927894094,78774,34738479,34710533,4
1775001984.8285298,g7.hpc.coe,28818,0,100.0,2035.0,12288.0,2851503970,2968859465,79216,40994563,40965371,442
1775001985.3286195,g7.hpc.coe,28818,0,100.0,2035.0,12288.0,2886931195,3004256685,79224,35427225,35397220,8
1775001985.828707,g7.hpc.coe,28818,0,100.0,2035.0,12288.0,2927925840,3045222105,81818,40994645,40965420,2594
1775001986.3287973,g7.hpc.coe,28818,0,100.0,2035.0,12288.0,2963353154,3080619387,82556,35427314,35397282,738
1775001986.8288877,g7.hpc.coe,28818,0,100.0,2035.0,12288.0,3004347854,3121584793,82956,40994700,40965406,400
1775001987.32898,g7.hpc.coe,28818,0,100.0,2035.0,12288.0,3039258405,3156638399,83403,34910551,35053606,447
1775001987.8290727,g7.hpc.coe,28818,0,100.0,2035.0,12288.0,3074512589,3191692241,83414,35254184,35053842,11
1775001988.329165,g7.hpc.coe,28818,0,100.0,2035.0,12288.0,3115507996,3232658186,83897,40995407,40965945,483
1775001988.8292685,g7.hpc.coe,28818,0,100.0,2035.0,12288.0,3150935449,3268055329,84896,35427453,35397143,999
1775001989.3293588,g7.hpc.coe,28818,0,100.0,2035.0,12288.0,3189892591,3306985415,85327,38957142,38930086,431
1775001989.8294487,g7.hpc.coe,28818,0,100.0,2035.0,12288.0,3227357658,3344417857,86344,37465067,37432442,1017
1775001990.3295393,g7.hpc.coe,28818,0,100.0,2035.0,12288.0,3262095204,3379128155,86592,34737546,34710298,248
1775001990.8296282,g7.hpc.coe,28818,0,100.0,2035.0,12288.0,3303090095,3420093554,91702,40994891,40965399,5110
1775001991.329716,g7.hpc.coe,28818,0,100.0,2035.0,12288.0,3338517670,3455490724,91710,35427575,35397170,8
1775001991.8298168,g7.hpc.coe,28818,0,100.0,2035.0,12288.0,3379512560,3496456102,91846,40994890,40965378,136
