timestamp,node_id,job_id,polling_interval_actual,gpu_index,gpu_util_pct,gpu_mem_used_mb,gpu_mem_total_mb,ib_port_xmit_data,ib_port_rcv_data,ib_port_xmit_packets,ib_port_rcv_packets,ib_port_xmit_wait,ib_port_xmit_discards,ib_excessive_buffer_overrun_errors,ib_link_downed,ib_link_error_recovery,ib_symbol_error,ib_local_link_integrity_errors,ib_port_rcv_remote_physical_errors,ib_port_rcv_errors,ib_sq_num_rnr,ib_sq_num_to,ib_rq_num_oos,ib_sq_num_oos,ib_port_xmit_data_delta,ib_port_rcv_data_delta,ib_port_xmit_packets_delta,ib_port_rcv_packets_delta,ib_port_xmit_wait_delta,ib_port_xmit_discards_delta,ib_excessive_buffer_overrun_errors_delta,ib_symbol_error_delta,ib_port_rcv_errors_delta,ib_sq_num_rnr_delta,ib_sq_num_to_delta,ib_rq_num_oos_delta,ib_sq_num_oos_delta
1775580593.3122559,g4.hpc.coe,30052,,0,0.0,0.0,12288.0,204811443784,204727128283,403678582,400617635,9861864,0,0,0,0,0,0,0,0,0,6,0,2578,,,,,,,,,,,,,
1775580593.8123639,g4.hpc.coe,30052,0.5001,0,0.0,0.0,12288.0,204811443784,204727128283,403678582,400617635,9861864,0,0,0,0,0,0,0,0,0,6,0,2578,0,0,0,0,0,0,0,0,0,0,0,0,0
1775580594.31249,g4.hpc.coe,30052,0.5001,0,0.0,0.0,12288.0,204811443784,204727128283,403678582,400617635,9861864,0,0,0,0,0,0,0,0,0,6,0,2578,0,0,0,0,0,0,0,0,0,0,0,0,0
1775580594.8126023,g4.hpc.coe,30052,0.5001,0,0.0,0.0,12288.0,204811443784,204727128283,403678582,400617635,9861864,0,0,0,0,0,0,0,0,0,6,0,2578,0,0,0,0,0,0,0,0,0,0,0,0,0
1775580595.3127365,g4.hpc.coe,30052,0.5001,0,0.0,0.0,12288.0,204811443784,204727128283,403678582,400617635,9861864,0,0,0,0,0,0,0,0,0,6,0,2578,0,0,0,0,0,0,0,0,0,0,0,0,0
1775580595.8128664,g4.hpc.coe,30052,0.5001,0,0.0,279.0,12288.0,204811443784,204727128283,403678582,400617635,9861864,0,0,0,0,0,0,0,0,0,6,0,2578,0,0,0,0,0,0,0,0,0,0,0,0,0
1775580596.3129897,g4.hpc.coe,30052,0.5001,0,0.0,419.0,12288.0,204816663535,204727143515,403684017,400618061,9864658,0,0,0,0,0,0,0,0,0,6,0,2578,5219751,15232,5435,426,2794,0,0,0,0,0,0,0,0
1775580596.8130968,g4.hpc.coe,30052,0.5001,0,0.0,419.0,12288.0,204816663535,204727143515,403684017,400618061,9864658,0,0,0,0,0,0,0,0,0,6,0,2578,0,0,0,0,0,0,0,0,0,0,0,0,0
1775580597.3132203,g4.hpc.coe,30052,0.5001,0,0.0,419.0,12288.0,204816663535,204727143515,403684017,400618061,9864658,0,0,0,0,0,0,0,0,0,6,0,2578,0,0,0,0,0,0,0,0,0,0,0,0,0
1775580597.8133426,g4.hpc.coe,30052,0.5001,0,13.0,2035.0,12288.0,204816671131,204727143796,403684037,400618074,9864658,0,0,0,0,0,0,0,0,0,6,0,2578,7596,281,20,13,0,0,0,0,0,0,0,0,0
1775580598.3134727,g4.hpc.coe,30052,0.5001,0,100.0,2035.0,12288.0,204852069302,204762531228,403719626,400653640,9864686,0,0,0,0,0,0,0,0,0,6,0,2578,35398171,35387432,35589,35566,28,0,0,0,0,0,0,0,0
1775580598.8135855,g4.hpc.coe,30052,0.5001,0,99.0,2035.0,12288.0,204891172056,204801967637,403759499,400693657,9865552,0,0,0,0,0,0,0,0,0,6,0,2578,39102754,39436409,39873,40017,866,0,0,0,0,0,0,0,0
1775580599.3137126,g4.hpc.coe,30052,0.5001,0,100.0,2035.0,12288.0,204928431004,204838869704,403796420,400730394,9865599,0,0,0,0,0,0,0,0,0,6,0,2578,37258948,36902067,36921,36737,47,0,0,0,0,0,0,0,0
1775580599.8138378,g4.hpc.coe,30052,0.5001,0,99.0,2035.0,12288.0,204965038471,204876001320,403833759,400768334,9865924,0,0,0,0,0,0,0,0,0,6,0,2578,36607467,37131616,37339,37940,325,0,0,0,0,0,0,0,0
1775580600.313964,g4.hpc.coe,30052,0.5001,0,100.0,2035.0,12288.0,205004105714,204914518227,403872458,400806411,9865973,0,0,0,0,0,0,0,0,0,6,0,2578,39067243,38516907,38699,38077,49,0,0,0,0,0,0,0,0
