timestamp,node_id,job_id,polling_interval_actual,gpu_index,gpu_util_pct,gpu_mem_used_mb,gpu_mem_total_mb,ib_port_xmit_data,ib_port_rcv_data,ib_port_xmit_packets,ib_port_rcv_packets,ib_port_xmit_wait,ib_port_xmit_discards,ib_excessive_buffer_overrun_errors,ib_link_downed,ib_link_error_recovery,ib_symbol_error,ib_local_link_integrity_errors,ib_port_rcv_remote_physical_errors,ib_port_rcv_errors,ib_sq_num_rnr,ib_sq_num_to,ib_rq_num_oos,ib_sq_num_oos,ib_port_xmit_data_delta,ib_port_rcv_data_delta,ib_port_xmit_packets_delta,ib_port_rcv_packets_delta,ib_port_xmit_wait_delta,ib_port_xmit_discards_delta,ib_excessive_buffer_overrun_errors_delta,ib_symbol_error_delta,ib_port_rcv_errors_delta,ib_sq_num_rnr_delta,ib_sq_num_to_delta,ib_rq_num_oos_delta,ib_sq_num_oos_delta
1775580593.3097315,g11.hpc.coe,30052,,0,0.0,0.0,12288.0,6966797553,7170969964,7704290,7813808,106349,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
1775580593.8098516,g11.hpc.coe,30052,0.5001,0,0.0,0.0,12288.0,6966797987,7170970074,7704293,7813809,106349,0,0,0,0,0,0,0,0,0,0,0,0,434,110,3,1,0,0,0,0,0,0,0,0,0
1775580594.3100038,g11.hpc.coe,30052,0.5002,0,0.0,0.0,12288.0,6966881626,7171052414,7705887,7815403,106349,0,0,0,0,0,0,0,0,0,0,0,0,83639,82340,1594,1594,0,0,0,0,0,0,0,0,0
1775580594.810111,g11.hpc.coe,30052,0.5001,0,0.0,0.0,12288.0,6966955019,7171124504,7707284,7816796,106349,0,0,0,0,0,0,0,0,0,0,0,0,73393,72090,1397,1393,0,0,0,0,0,0,0,0,0
1775580595.3102276,g11.hpc.coe,30052,0.5001,0,0.0,0.0,12288.0,6966993212,7171161781,7708010,7817513,106349,0,0,0,0,0,0,0,0,0,0,0,0,38193,37277,726,717,0,0,0,0,0,0,0,0,0
1775580595.8103645,g11.hpc.coe,30052,0.5001,0,0.0,279.0,12288.0,6966994165,7171162354,7708022,7817522,106349,0,0,0,0,0,0,0,0,0,0,0,0,953,573,12,9,0,0,0,0,0,0,0,0,0
1775580596.3104753,g11.hpc.coe,30052,0.5001,0,8.0,419.0,12288.0,6967052585,7176424195,7709267,7823764,106349,0,0,0,0,0,0,0,0,0,0,0,0,58420,5261841,1245,6242,0,0,0,0,0,0,0,0,0
1775580596.8106058,g11.hpc.coe,30052,0.5001,0,0.0,419.0,12288.0,6967154133,7176523889,7711196,7825693,106349,0,0,0,0,0,0,0,0,0,0,0,0,101548,99694,1929,1929,0,0,0,0,0,0,0,0,0
1775580597.3107376,g11.hpc.coe,30052,0.5001,0,0.0,473.0,12288.0,6967200877,7176569396,7712083,7826575,106349,0,0,0,0,0,0,0,0,0,0,0,0,46744,45507,887,882,0,0,0,0,0,0,0,0,0
1775580597.8108437,g11.hpc.coe,30052,0.5001,0,32.0,2035.0,12288.0,6967202316,7177632177,7712118,7827633,106349,0,0,0,0,0,0,0,0,0,0,0,0,1439,1062781,35,1058,0,0,0,0,0,0,0,0,0
